zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,all_county_weights,imprecise,military,timezone
78732,30.37912,-97.8931,Austin,TX,Texas,TRUE,,14060,407.4,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78733,30.32323,-97.87609,Austin,TX,Texas,TRUE,,8762,295.4,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78734,30.37853,-97.94961,Austin,TX,Texas,TRUE,,17655,339.1,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78735,30.2659,-97.86658,Austin,TX,Texas,TRUE,,16131,303.1,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78736,30.2611,-97.95944,Austin,TX,Texas,TRUE,,6946,92.5,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78737,30.18779,-97.95966,Austin,TX,Texas,TRUE,,12081,122.9,48209,Hays,"{'48209':70.98,'48453':29.02}",FALSE,FALSE,America/Chicago
78738,30.31942,-97.95838,Austin,TX,Texas,TRUE,,12134,275.7,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78739,30.17845,-97.88869,Austin,TX,Texas,TRUE,,16792,567.5,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78741,30.23049,-97.71401,Austin,TX,Texas,TRUE,,44935,2285.4,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78742,30.24413,-97.6583,Austin,TX,Texas,TRUE,,820,54.9,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78744,30.18277,-97.7292,Austin,TX,Texas,TRUE,,42820,771.6,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78745,30.20685,-97.79738,Austin,TX,Texas,TRUE,,55614,1607.4,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78746,30.29729,-97.81054,Austin,TX,Texas,TRUE,,26928,461.2,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78747,30.12653,-97.74017,Austin,TX,Texas,TRUE,,14808,240.6,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78748,30.16538,-97.82343,Austin,TX,Texas,TRUE,,40651,1238,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78749,30.21376,-97.85821,Austin,TX,Texas,TRUE,,34449,1320.9,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78750,30.41828,-97.80246,Austin,TX,Texas,TRUE,,26814,772,48453,Travis,"{'48453':54.01,'48491':45.99}",FALSE,FALSE,America/Chicago
78751,30.31082,-97.72274,Austin,TX,Texas,TRUE,,14385,2315.7,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78752,30.3318,-97.70426,Austin,TX,Texas,TRUE,,18064,2086.6,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78753,30.38204,-97.67361,Austin,TX,Texas,TRUE,,49301,1751.3,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78754,30.35575,-97.64482,Austin,TX,Texas,TRUE,,15036,438.1,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78756,30.32227,-97.74017,Austin,TX,Texas,TRUE,,7194,1661.7,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78757,30.35158,-97.73252,Austin,TX,Texas,TRUE,,21310,1673.7,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78758,30.38799,-97.70684,Austin,TX,Texas,TRUE,,44072,1832.3,48453,Travis,{'48453':100},FALSE,FALSE,America/Chicago
78759,30.40268,-97.76105,Austin,TX,Texas,TRUE,,38891,1079,48453,Travis,"{'48453':99.22,'48491':0.78}",FALSE,FALSE,America/Chicago
78801,29.35664,-99.87147,Uvalde,TX,Texas,TRUE,,21780,10.3,48463,Uvalde,{'48463':100},FALSE,FALSE,America/Chicago
78802,29.15502,-99.88182,Uvalde,TX,Texas,TRUE,,242,7.7,48463,Uvalde,{'48463':100},FALSE,FALSE,America/Chicago
